time_s,temperature,heart_rate,spo2,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.0,36.878,76.37,98.45,0.0125,0.0231,1.028,-1.082,-0.483,-0.029
0.05,36.88,76.48,98.46,-0.016,0.0266,1.0052,0.961,-1.171,-0.041
0.1,36.851,76.33,98.38,-0.0204,-0.0533,0.9902,0.667,-0.535,0.815
0.15,36.857,76.48,98.43,-0.01,-0.034,0.962,0.106,-1.694,1.029
0.2,36.872,76.67,98.4,-0.0087,-0.0489,1.0449,0.905,-0.836,0.928
0.25,36.867,76.81,98.38,0.0064,0.0083,1.0228,0.935,-1.118,0.359
0.3,36.87,76.15,98.38,-0.028,-0.0246,1.094,0.994,-1.351,-0.253
0.35,36.862,76.31,98.37,-0.0432,-0.0407,1.0217,0.243,-1.413,1.176
0.4,36.879,75.82,98.35,-0.0382,-0.0059,0.995,-0.205,-0.162,0.13
0.45,36.878,76.62,98.3,-0.033,-0.0156,0.9915,0.326,-1.298,0.274
0.5,36.871,76.44,98.31,0.027,-0.0091,1.0139,-0.105,-0.494,-0.115
0.55,36.882,75.95,98.33,0.0481,-0.0229,1.0183,-0.675,-0.445,2.251
0.6,36.875,75.75,98.32,-0.0258,0.0199,0.9481,0.873,0.21,0.424
0.65,36.862,76.5,98.28,-0.0033,0.0041,0.9403,-0.194,-0.36,0.725
0.7,36.874,77.13,98.32,-0.0234,0.0013,1.0032,0.37,-0.654,0.314
0.75,36.861,77.33,98.29,-0.0127,-0.0026,1.0673,-1.148,-0.729,1.951
0.8,36.879,75.96,98.3,-0.0317,-0.0093,1.0502,-1.568,-0.334,1.036
0.85,36.87,77.15,98.33,-0.0,-0.014,1.0461,-1.542,-1.903,0.397
0.9,36.868,77.16,98.29,0.0203,-0.0455,1.0431,-0.867,-0.703,0.913
0.95,36.864,77.54,98.26,-0.0414,-0.0571,1.012,-0.895,-1.129,0.324
1.0,36.883,77.17,98.22,-0.0657,-0.0357,0.9736,0.985,-1.477,-1.313
1.05,36.869,76.86,98.24,-0.0241,-0.0407,0.9493,0.53,-0.706,0.797
1.1,36.866,77.52,98.23,0.0119,0.0478,1.0168,1.424,-0.956,-0.281
1.15,36.867,75.94,98.23,-0.0139,0.039,1.0256,0.655,-2.201,0.669
1.2,36.876,76.83,98.27,0.0135,-0.0226,1.0399,0.283,-0.801,0.735
1.25,36.874,76.99,98.21,0.0321,-0.051,0.9986,0.537,-0.426,0.438
1.3,36.874,77.19,98.28,0.0067,0.0338,0.9489,-0.093,0.221,-0.629
1.35,36.875,76.87,98.29,-0.04,0.0128,0.987,-0.004,0.053,0.069
1.4,36.892,77.44,98.3,-0.0311,0.0108,0.9768,-0.417,0.999,-0.492
1.45,36.866,77.54,98.31,-0.0274,-0.0842,1.0412,-0.476,-0.807,0.962
